学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
AGRICULTURAL SCIENCES,JIANGSU ACADEMY OF AGRICULTURAL SCIENCES,181,1661,27206,16.380
AGRICULTURAL SCIENCES,ZHEJIANG GONGSHANG UNIVERSITY,187,1264,26491,20.960
AGRICULTURAL SCIENCES,"INSTITUTE OF CROP SCIENCES, CAAS",202,1218,24149,19.830
AGRICULTURAL SCIENCES,GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES,205,1475,24081,16.330
AGRICULTURAL SCIENCES,NINGBO UNIVERSITY,209,1402,23842,17.010
AGRICULTURAL SCIENCES,MINISTRY OF WATER RESOURCES,212,925,23526,25.430
AGRICULTURAL SCIENCES,HENAN UNIVERSITY OF TECHNOLOGY,216,1551,23027,14.850
AGRICULTURAL SCIENCES,ZHEJIANG A&F UNIVERSITY,219,1485,22793,15.350
AGRICULTURAL SCIENCES,BEIJING ACADEMY OF AGRICULTURE & FORESTRY SCIENCES (BAAFS),229,1410,21872,15.510
AGRICULTURAL SCIENCES,SHAANXI NORMAL UNIVERSITY,230,1074,21851,20.350
AGRICULTURAL SCIENCES,GUANGXI UNIVERSITY,234,1554,21658,13.940
AGRICULTURAL SCIENCES,SHANGHAI OCEAN UNIVERSITY,238,1208,21336,17.660
AGRICULTURAL SCIENCES,JIANGXI AGRICULTURAL UNIVERSITY,242,1300,21140,16.260
AGRICULTURAL SCIENCES,SHIHEZI UNIVERSITY,246,1597,20933,13.110
AGRICULTURAL SCIENCES,GUIZHOU UNIVERSITY,253,1815,20737,11.430
AGRICULTURAL SCIENCES,NANJING UNIVERSITY OF FINANCE & ECONOMICS,278,853,19346,22.680
AGRICULTURAL SCIENCES,"SHENYANG INSTITUTE OF APPLIED ECOLOGY, CAS",279,763,19329,25.330
AGRICULTURAL SCIENCES,HEBEI AGRICULTURAL UNIVERSITY,286,1550,18886,12.180
AGRICULTURAL SCIENCES,JILIN AGRICULTURAL UNIVERSITY,287,1508,18846,12.500
AGRICULTURAL SCIENCES,WUHAN UNIVERSITY,288,923,18812,20.380
AGRICULTURAL SCIENCES,NORTHEAST FORESTRY UNIVERSITY - CHINA,290,1066,18762,17.600
AGRICULTURAL SCIENCES,ZHEJIANG UNIVERSITY OF TECHNOLOGY,300,958,18495,19.310
AGRICULTURAL SCIENCES,GANSU AGRICULTURAL UNIVERSITY,303,1464,18306,12.500
AGRICULTURAL SCIENCES,QILU UNIVERSITY OF TECHNOLOGY,307,955,18096,18.950
AGRICULTURAL SCIENCES,"SOUTH CHINA BOTANICAL GARDEN, CAS",310,694,17918,25.820
AGRICULTURAL SCIENCES,SHANXI AGRICULTURAL UNIVERSITY,313,1608,17816,11.080
AGRICULTURAL SCIENCES,NANJING NORMAL UNIVERSITY,317,870,17605,20.240
AGRICULTURAL SCIENCES,"INSTITUTE OF SUBTROPICAL AGRICULTURE, CAS",318,633,17573,27.760
AGRICULTURAL SCIENCES,ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES,329,1128,17132,15.190
AGRICULTURAL SCIENCES,HENAN AGRICULTURAL UNIVERSITY,333,1491,16987,11.390
AGRICULTURAL SCIENCES,TSINGHUA UNIVERSITY,335,790,16927,21.430
AGRICULTURAL SCIENCES,CHENGDU UNIVERSITY,338,850,16760,19.720
AGRICULTURAL SCIENCES,BOHAI UNIVERSITY,342,714,16570,23.210
AGRICULTURAL SCIENCES,CHINESE ACADEMY OF TROPICAL AGRICULTURAL SCIENCES,343,1123,16569,14.750
AGRICULTURAL SCIENCES,"NORTHEAST INSTITUTE OF GEOGRAPHY & AGROECOLOGY, CAS",348,964,16396,17.010
AGRICULTURAL SCIENCES,WUHAN POLYTECHNIC UNIVERSITY,357,985,16072,16.320
AGRICULTURAL SCIENCES,CHINESE ACADEMY OF FORESTRY,359,1140,16027,14.060
AGRICULTURAL SCIENCES,HENAN UNIVERSITY OF SCIENCE & TECHNOLOGY,363,1179,15916,13.500
AGRICULTURAL SCIENCES,NORTHWEST UNIVERSITY XI'AN,369,764,15592,20.410
AGRICULTURAL SCIENCES,YANGTZE UNIVERSITY,379,872,15095,17.310
AGRICULTURAL SCIENCES,"TEA RESEARCH INSTITUTE, CAAS",383,578,14952,25.870
AGRICULTURAL SCIENCES,SHANDONG ACADEMY OF AGRICULTURAL SCIENCES,389,1107,14767,13.340
AGRICULTURAL SCIENCES,"INSTITUTE OF BOTANY, CAS",404,545,14337,26.310
AGRICULTURAL SCIENCES,SHENZHEN UNIVERSITY,405,759,14324,18.870
AGRICULTURAL SCIENCES,HUBEI UNIVERSITY OF TECHNOLOGY,407,736,14294,19.420
AGRICULTURAL SCIENCES,TIANJIN UNIVERSITY,419,738,13841,18.750
AGRICULTURAL SCIENCES,FUZHOU UNIVERSITY,423,582,13768,23.660
AGRICULTURAL SCIENCES,INNER MONGOLIA AGRICULTURAL UNIVERSITY,425,1321,13757,10.410
AGRICULTURAL SCIENCES,NANJING UNIVERSITY,433,658,13532,20.570
AGRICULTURAL SCIENCES,SHAANXI UNIVERSITY OF SCIENCE & TECHNOLOGY,445,673,13239,19.670
AGRICULTURAL SCIENCES,"INSTITUTE OF ENVIRONMENT & SUSTAINABLE DEVELOPMENT IN AGRICULTURE, CAAS",446,603,13210,21.910
AGRICULTURAL SCIENCES,NANKAI UNIVERSITY,447,776,13182,16.990
AGRICULTURAL SCIENCES,ZHENGZHOU UNIVERSITY,448,996,13093,13.150
AGRICULTURAL SCIENCES,"RESEARCH CENTER FOR ECO-ENVIRONMENTAL SCIENCES (RCEES), CAS",459,415,12829,30.910
AGRICULTURAL SCIENCES,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,460,722,12828,17.770
AGRICULTURAL SCIENCES,CENTRAL SOUTH UNIVERSITY,478,553,12455,22.520
AGRICULTURAL SCIENCES,QINGDAO UNIVERSITY,479,736,12447,16.910
AGRICULTURAL SCIENCES,CENTRAL SOUTH UNIVERSITY OF FORESTRY & TECHNOLOGY,490,787,12208,15.510
AGRICULTURAL SCIENCES,ZHENGZHOU UNIVERSITY OF LIGHT INDUSTRY,498,527,12085,22.930
AGRICULTURAL SCIENCES,"INSTITUTE OF GENETICS & DEVELOPMENTAL BIOLOGY, CAS",506,535,11839,22.130
AGRICULTURAL SCIENCES,KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY,516,886,11430,12.900
AGRICULTURAL SCIENCES,YUNNAN AGRICULTURAL UNIVERSITY,519,1028,11345,11.040
AGRICULTURAL SCIENCES,HOHAI UNIVERSITY,520,683,11337,16.600
AGRICULTURAL SCIENCES,JIANGXI NORMAL UNIVERSITY,531,476,11042,23.200
AGRICULTURAL SCIENCES,CHINESE ACADEMY OF MEDICAL SCIENCES - PEKING UNION MEDICAL COLLEGE,532,801,11026,13.770
AGRICULTURAL SCIENCES,"INSTITUTE OF PLANT PROTECTION, CAAS",543,831,10654,12.820
AGRICULTURAL SCIENCES,LAOSHAN LABORATORY,547,531,10573,19.910
AGRICULTURAL SCIENCES,SHANGHAI INSTITUTE OF TECHNOLOGY,549,517,10544,20.390
AGRICULTURAL SCIENCES,FUDAN UNIVERSITY,555,654,10427,15.940
AGRICULTURAL SCIENCES,UNIVERSITY OF SHANGHAI FOR SCIENCE & TECHNOLOGY,567,659,10236,15.530
AGRICULTURAL SCIENCES,HENAN UNIVERSITY,573,589,10020,17.010
AGRICULTURAL SCIENCES,SOOCHOW UNIVERSITY - CHINA,574,609,10004,16.430
AGRICULTURAL SCIENCES,NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY,578,579,9900,17.100
AGRICULTURAL SCIENCES,GUANGDONG ACADEMY OF SCIENCES,592,591,9681,16.380
AGRICULTURAL SCIENCES,SHANDONG UNIVERSITY OF TECHNOLOGY,594,646,9663,14.960
AGRICULTURAL SCIENCES,"OIL CROPS RESEARCH INSTITUTE, CAAS",595,505,9661,19.130
AGRICULTURAL SCIENCES,JIMEI UNIVERSITY,605,627,9444,15.060
AGRICULTURAL SCIENCES,HUNAN ACADEMY OF AGRICULTURAL SCIENCES,627,538,9039,16.800
AGRICULTURAL SCIENCES,GUANGDONG OCEAN UNIVERSITY,632,706,8957,12.690
AGRICULTURAL SCIENCES,ZHEJIANG OCEAN UNIVERSITY,633,468,8946,19.120
AGRICULTURAL SCIENCES,SHANDONG UNIVERSITY,634,658,8934,13.580
AGRICULTURAL SCIENCES,ZHONGKAI UNIVERSITY OF AGRICULTURE & ENGINEERING,646,603,8636,14.320
AGRICULTURAL SCIENCES,FUJIAN NORMAL UNIVERSITY,653,499,8524,17.080
AGRICULTURAL SCIENCES,NINGXIA UNIVERSITY,657,736,8508,11.560
AGRICULTURAL SCIENCES,HENAN INSTITUTE OF SCIENCE & TECHNOLOGY,660,672,8474,12.610
AGRICULTURAL SCIENCES,GUANGDONG PHARMACEUTICAL UNIVERSITY,664,364,8430,23.160
AGRICULTURAL SCIENCES,GUANGDONG LABORATORY FOR LINGNAN MODERN AGRICULTURE,666,762,8415,11.040
AGRICULTURAL SCIENCES,HEILONGJIANG ACADEMY OF AGRICULTURAL SCIENCES,669,537,8393,15.630
AGRICULTURAL SCIENCES,"INSTITUTE OF ANIMAL SCIENCE, CAAS",688,554,8213,14.820
AGRICULTURAL SCIENCES,HARBIN INSTITUTE OF TECHNOLOGY,691,449,8184,18.230
AGRICULTURAL SCIENCES,CHINESE ACADEMY OF FISHERY SCIENCES,699,539,8085,15.000
AGRICULTURAL SCIENCES,SHANGHAI ACADEMY OF AGRICULTURAL SCIENCES,700,629,8079,12.840
AGRICULTURAL SCIENCES,EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY,702,484,8045,16.620
AGRICULTURAL SCIENCES,"CHENGDU INSTITUTE OF BIOLOGY, CAS",705,419,8018,19.140
AGRICULTURAL SCIENCES,NORTHEAST NORMAL UNIVERSITY - CHINA,713,448,7904,17.640
AGRICULTURAL SCIENCES,ANHUI ACADEMY OF AGRICULTURAL SCIENCES,713,463,7904,17.070
AGRICULTURAL SCIENCES,SOUTHERN MEDICAL UNIVERSITY - CHINA,733,534,7716,14.450
AGRICULTURAL SCIENCES,FOSHAN UNIVERSITY,734,432,7706,17.840
AGRICULTURAL SCIENCES,"XINJIANG INSTITUTE OF ECOLOGY & GEOGRAPHY, CAS",735,445,7672,17.240
AGRICULTURAL SCIENCES,SICHUAN ACADEMY OF AGRICULTURAL SCIENCES (SAAS),738,539,7632,14.160
AGRICULTURAL SCIENCES,CHINA NATIONAL TOBACCO CORPORATION,740,642,7619,11.870
AGRICULTURAL SCIENCES,"CENTER FOR AGRICULTURAL RESOURCES RESEARCH, INSTITUTE OF GENETIC & DEVELOPMENTAL BIOLOGY, CAS",745,321,7581,23.620
AGRICULTURAL SCIENCES,XI'AN JIAOTONG UNIVERSITY,748,522,7553,14.470
AGRICULTURAL SCIENCES,HENAN ACADEMY OF AGRICULTURAL SCIENCES,752,474,7518,15.860
AGRICULTURAL SCIENCES,CHINESE CENTER FOR DISEASE CONTROL & PREVENTION,758,520,7432,14.290
AGRICULTURAL SCIENCES,XIAMEN UNIVERSITY,759,442,7425,16.800
AGRICULTURAL SCIENCES,XI'AN UNIVERSITY OF TECHNOLOGY,761,399,7394,18.530
AGRICULTURAL SCIENCES,"INSTITUTE OF EARTH ENVIRONMENT, CAS",767,283,7366,26.030
AGRICULTURAL SCIENCES,PEKING UNION MEDICAL COLLEGE,773,557,7256,13.030
AGRICULTURAL SCIENCES,"CHINA NATIONAL RICE RESEARCH INSTITUTE, CAAS",777,431,7215,16.740
AGRICULTURAL SCIENCES,MINISTRY OF NATURAL RESOURCES OF THE PEOPLE'S REPUBLIC OF CHINA,788,436,7038,16.140
AGRICULTURAL SCIENCES,CHINA UNIVERSITY OF GEOSCIENCES,794,377,6988,18.540
AGRICULTURAL SCIENCES,SHANXI UNIVERSITY,795,469,6979,14.880
AGRICULTURAL SCIENCES,"INSTITUTE OF MOUNTAIN HAZARDS & ENVIRONMENT, CAS",808,385,6840,17.770
AGRICULTURAL SCIENCES,HUBEI ACADEMY OF AGRICULTURAL SCIENCES,809,441,6832,15.490
AGRICULTURAL SCIENCES,HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY,812,636,6805,10.700
AGRICULTURAL SCIENCES,XINJIANG AGRICULTURAL UNIVERSITY,817,692,6776,9.790
AGRICULTURAL SCIENCES,YUNNAN UNIVERSITY,819,548,6754,12.320
AGRICULTURAL SCIENCES,"KUNMING INSTITUTE OF BOTANY, CAS",827,354,6683,18.880
AGRICULTURAL SCIENCES,CHONGQING UNIVERSITY,844,370,6524,17.630
AGRICULTURAL SCIENCES,EAST CHINA NORMAL UNIVERSITY,845,346,6513,18.820
AGRICULTURAL SCIENCES,GUANGXI ACADEMY OF AGRICULTURAL SCIENCES,846,495,6512,13.160
AGRICULTURAL SCIENCES,CHINA METEOROLOGICAL ADMINISTRATION,852,320,6471,20.220
AGRICULTURAL SCIENCES,XINJIANG ACADEMY OF AGRICULTURAL SCIENCES,854,521,6432,12.350
AGRICULTURAL SCIENCES,CHINA INSTITUTE OF WATER RESOURCES & HYDROPOWER RESEARCH,856,439,6428,14.640
AGRICULTURAL SCIENCES,"INSTITUTE OF URBAN ENVIRONMENT, CAS",858,219,6396,29.210
AGRICULTURAL SCIENCES,NANJING MEDICAL UNIVERSITY,865,424,6360,15.000
AGRICULTURAL SCIENCES,JILIN ACADEMY OF AGRICULTURAL SCIENCES,866,413,6349,15.370
AGRICULTURAL SCIENCES,GUANGDONG UNIVERSITY OF TECHNOLOGY,868,329,6339,19.270
AGRICULTURAL SCIENCES,"INSTITUTE OF TIBETAN PLATEAU RESEARCH, CAS",873,253,6296,24.890
AGRICULTURAL SCIENCES,NANJING TECH UNIVERSITY,878,432,6250,14.470
AGRICULTURAL SCIENCES,"INSTITUTE OF URBAN AGRICULTURE, CAAS",901,209,6015,28.780
AGRICULTURAL SCIENCES,YUNNAN ACADEMY OF AGRICULTURAL SCIENCES,902,562,6011,10.700
AGRICULTURAL SCIENCES,QINGHAI UNIVERSITY,909,570,5967,10.470
AGRICULTURAL SCIENCES,CHINA PHARMACEUTICAL UNIVERSITY,910,326,5962,18.290
AGRICULTURAL SCIENCES,SHENYANG PHARMACEUTICAL UNIVERSITY,926,350,5795,16.560
AGRICULTURAL SCIENCES,LUDONG UNIVERSITY,948,399,5607,14.050
AGRICULTURAL SCIENCES,BEIJING NORMAL UNIVERSITY - HONG KONG BAPTIST UNIVERSITY UNITED INTERNATIONAL COLLEGE,950,163,5589,34.290
AGRICULTURAL SCIENCES,WUHAN INSTITUTE OF TECHNOLOGY,959,199,5526,27.770
AGRICULTURAL SCIENCES,HEBEI ACADEMY OF AGRICULTURAL & FORESTRY SCIENCES,966,454,5477,12.060
AGRICULTURAL SCIENCES,"GRADUATE SCHOOL, CAAS",967,242,5476,22.630
AGRICULTURAL SCIENCES,BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,970,277,5465,19.730
AGRICULTURAL SCIENCES,"INSTITUTE OF QUALITY STANDARDS & TESTING TECHNOLOGY FOR AGRO-PRODUCTS, CAAS",972,281,5461,19.430
AGRICULTURAL SCIENCES,DONGGUAN UNIVERSITY OF TECHNOLOGY,973,237,5445,22.970
AGRICULTURAL SCIENCES,SHANDONG NORMAL UNIVERSITY,989,298,5346,17.940
AGRICULTURAL SCIENCES,SOUTH CHINA NORMAL UNIVERSITY,999,264,5301,20.080
AGRICULTURAL SCIENCES,HUNAN UNIVERSITY,1003,261,5280,20.230
AGRICULTURAL SCIENCES,GUANGZHOU UNIVERSITY,1010,312,5249,16.820
AGRICULTURAL SCIENCES,"WUHAN BOTANICAL GARDEN, CAS",1011,242,5245,21.670
AGRICULTURAL SCIENCES,GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,1023,307,5189,16.900
AGRICULTURAL SCIENCES,WENZHOU MEDICAL UNIVERSITY,1026,356,5155,14.480
AGRICULTURAL SCIENCES,SOUTHEAST UNIVERSITY - CHINA,1037,416,5093,12.240
AGRICULTURAL SCIENCES,"INSTITUTE OF VEGETABLES & FLOWERS, CAAS",1042,399,5080,12.730
AGRICULTURAL SCIENCES,HEBEI UNIVERSITY,1047,437,5054,11.570
AGRICULTURAL SCIENCES,COLLABORATIVE INNOVATION CENTER OF CHEMICAL SCIENCE & ENGINEERING TIANJIN,1054,158,5014,31.730
AGRICULTURAL SCIENCES,XINJIANG UNIVERSITY,1066,383,4944,12.910
AGRICULTURAL SCIENCES,NANJING UNIVERSITY OF CHINESE MEDICINE,1068,375,4934,13.160
AGRICULTURAL SCIENCES,NORTHWESTERN POLYTECHNICAL UNIVERSITY,1069,197,4927,25.010
AGRICULTURAL SCIENCES,TARIM UNIVERSITY,1071,517,4921,9.520
AGRICULTURAL SCIENCES,"INSTITUTE OF COTTON RESEARCH, CAAS",1074,419,4908,11.710
AGRICULTURAL SCIENCES,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,1085,367,4830,13.160
AGRICULTURAL SCIENCES,"INSTITUTE OF APICULTURAL RESEARCH, CAAS",1088,236,4813,20.390
AGRICULTURAL SCIENCES,TONGJI UNIVERSITY,1090,278,4804,17.280
AGRICULTURAL SCIENCES,CENTRAL CHINA NORMAL UNIVERSITY,1100,218,4772,21.890
AGRICULTURAL SCIENCES,CHINA JILIANG UNIVERSITY,1106,339,4749,14.010
AGRICULTURAL SCIENCES,HARBIN UNIVERSITY OF COMMERCE,1118,386,4704,12.190
AGRICULTURAL SCIENCES,BEIJING UNIVERSITY OF AGRICULTURE,1123,357,4683,13.120
AGRICULTURAL SCIENCES,CAPITAL MEDICAL UNIVERSITY,1125,422,4670,11.070
AGRICULTURAL SCIENCES,TIANJIN UNIVERSITY OF COMMERCE,1126,271,4665,17.210
AGRICULTURAL SCIENCES,DALIAN MINZU UNIVERSITY,1133,261,4646,17.800
AGRICULTURAL SCIENCES,YANTAI UNIVERSITY,1133,313,4646,14.840
AGRICULTURAL SCIENCES,DALIAN UNIVERSITY OF TECHNOLOGY,1139,246,4619,18.780
AGRICULTURAL SCIENCES,FUJIAN ACADEMY OF AGRICULTURAL SCIENCES,1140,417,4608,11.050
AGRICULTURAL SCIENCES,CHENGDU UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,1163,327,4496,13.750
AGRICULTURAL SCIENCES,LINYI UNIVERSITY,1166,275,4490,16.330
AGRICULTURAL SCIENCES,XIHUA UNIVERSITY,1170,395,4475,11.330
AGRICULTURAL SCIENCES,"COLD & ARID REGIONS ENVIRONMENTAL & ENGINEERING RESEARCH INSTITUTE, CAS",1182,129,4402,34.120
AGRICULTURAL SCIENCES,"TOBACCO RESEARCH INSTITUTE, CAAS",1187,212,4389,20.700
AGRICULTURAL SCIENCES,JIANGSU UNIVERSITY OF SCIENCE & TECHNOLOGY,1188,305,4387,14.380
AGRICULTURAL SCIENCES,HANGZHOU NORMAL UNIVERSITY,1190,305,4377,14.350
AGRICULTURAL SCIENCES,YANAN UNIVERSITY,1206,162,4304,26.570
AGRICULTURAL SCIENCES,ZHEJIANG SCI-TECH UNIVERSITY,1206,305,4304,14.110
AGRICULTURAL SCIENCES,CHANGSHA UNIVERSITY OF SCIENCE & TECHNOLOGY,1208,270,4295,15.910
AGRICULTURAL SCIENCES,ZHEJIANG CHINESE MEDICAL UNIVERSITY,1215,318,4269,13.420
AGRICULTURAL SCIENCES,JIANGSU NORMAL UNIVERSITY,1218,192,4254,22.160
AGRICULTURAL SCIENCES,"XISHUANGBANNA TROPICAL BOTANICAL GARDEN, CAS",1220,237,4238,17.880
AGRICULTURAL SCIENCES,ZHEJIANG UNIVERSITY OF SCIENCE & TECHNOLOGY,1225,334,4216,12.620
AGRICULTURAL SCIENCES,SOUTHWEST MINZU UNIVERSITY,1233,299,4194,14.030
AGRICULTURAL SCIENCES,SOUTHWEST FORESTRY UNIVERSITY - CHINA,1235,425,4177,9.830
AGRICULTURAL SCIENCES,JIANGXI ACADEMY OF AGRICULTURAL SCIENCES,1245,262,4101,15.650
AGRICULTURAL SCIENCES,"AGRICULTURE GENOMES INSTITUTE AT SHENZHEN, CAAS",1254,387,4063,10.500
AGRICULTURAL SCIENCES,LIAOCHENG UNIVERSITY,1255,293,4057,13.850
AGRICULTURAL SCIENCES,GANSU ACADEMY OF AGRICULTURAL SCIENCES,1262,286,4010,14.020
AGRICULTURAL SCIENCES,"YANTAI INSTITUTE OF COASTAL ZONE RESEARCH, CAS",1264,183,3999,21.850
AGRICULTURAL SCIENCES,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,1265,162,3996,24.670
AGRICULTURAL SCIENCES,JIANGSU OCEAN UNIVERSITY,1267,231,3989,17.270
AGRICULTURAL SCIENCES,TIANJIN AGRICULTURAL UNIVERSITY,1269,353,3970,11.250
AGRICULTURAL SCIENCES,"INSTITUTE OF CHEMICAL INDUSTRY OF FOREST PRODUCTS, CAF",1288,203,3892,19.170
AGRICULTURAL SCIENCES,"FARMLAND IRRIGATION RESEARCH INSTITUTE, CAAS",1311,177,3780,21.360
AGRICULTURAL SCIENCES,"UNIVERSITY OF SCIENCE & TECHNOLOGY OF CHINA, CAS",1312,293,3779,12.900
AGRICULTURAL SCIENCES,GUIZHOU ACADEMY OF AGRICULTURAL SCIENCES,1321,362,3742,10.340
AGRICULTURAL SCIENCES,CHINESE ACADEMY OF INSPECTION & QUARANTINE,1325,254,3721,14.650
AGRICULTURAL SCIENCES,SHENYANG NORMAL UNIVERSITY,1326,200,3716,18.580
AGRICULTURAL SCIENCES,HEBEI UNIVERSITY OF SCIENCE & TECHNOLOGY,1332,229,3693,16.130
AGRICULTURAL SCIENCES,XI'AN UNIVERSITY OF SCIENCE & TECHNOLOGY,1334,94,3691,39.270
AGRICULTURAL SCIENCES,HEBEI NORMAL UNIVERSITY OF SCIENCE & TECHNOLOGY,1346,227,3655,16.100
AGRICULTURAL SCIENCES,LIAONING ACADEMY OF AGRICULTURAL SCIENCES,1365,333,3604,10.820
BIOLOGY & BIOCHEMISTRY,CHINESE ACADEMY OF SCIENCES,3,22015,548769,24.930
BIOLOGY & BIOCHEMISTRY,"UNIVERSITY OF CHINESE ACADEMY OF SCIENCES, CAS",34,8703,203162,23.340
BIOLOGY & BIOCHEMISTRY,SHANGHAI JIAO TONG UNIVERSITY,43,8911,181585,20.380
BIOLOGY & BIOCHEMISTRY,ZHEJIANG UNIVERSITY,52,7545,155788,20.650
BIOLOGY & BIOCHEMISTRY,PEKING UNIVERSITY,62,5602,142206,25.380
BIOLOGY & BIOCHEMISTRY,FUDAN UNIVERSITY,79,6508,124101,19.070
BIOLOGY & BIOCHEMISTRY,TSINGHUA UNIVERSITY,85,3624,118042,32.570
BIOLOGY & BIOCHEMISTRY,SUN YAT SEN UNIVERSITY,91,5694,116152,20.400
BIOLOGY & BIOCHEMISTRY,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,116,4770,102736,21.540
BIOLOGY & BIOCHEMISTRY,SICHUAN UNIVERSITY,129,4659,91907,19.730
BIOLOGY & BIOCHEMISTRY,SHANDONG UNIVERSITY,141,5166,87733,16.980
